Data Year,ID,Property Name,Reporting Status,Address,ZIP Code,Chicago Energy Rating,Exempt From Chicago Energy Rating,Community Area,Primary Property Type,Gross Floor Area - Buildings (sq ft),Year Built,# of Buildings,Water Use (kGal),ENERGY STAR Score,Electricity Use (kBtu),Natural Gas Use (kBtu),District Steam Use (kBtu),District Chilled Water Use (kBtu),All Other Fuel Use (kBtu),Site EUI (kBtu/sq ft),Source EUI (kBtu/sq ft),Weather Normalized Site EUI (kBtu/sq ft),Weather Normalized Source EUI (kBtu/sq ft),Total GHG Emissions (Metric Tons CO2e),GHG Intensity (kg CO2e/sq ft),Latitude,Longitude,Location,Row_ID
2019,173657,Chicago,Submitted,1  W WASHINGTON ST,60602,"1,0",false,LOOP,Hotel,85.000,1895,1,,7,"7.273.022,6","2.470.861,6",,,,"155,7",,,,,,"41,88319223","-87,62868858","(41.88319223, -87.62868858)",2019-173657
2019,175450,Goodman Theatre,Submitted,56 60 W Randolph St,60601,"2,0",false,LOOP,Office,50.913,2000,1,,,3.155.868,11.370.000,,,,"285,3",408,"282,7",,"1.128,9","22,2","41,88448158","-87,62973023","(41.88448158, -87.62973023)",2019-175450
2019,175995,IL2125ZZ-11 West Quincy,Submitted,11 W Quincy Ct,60604,"4,0",false,LOOP,Office,120.593,1985,1,,88,"2.352.153,6","1.952.032,5",,,,"35,7",,,,,,"41,87874431","-87,63098611","(41.87874431, -87.63098611)",2019-175995
2019,250001,120 North LaSalle,Submitted,120 N LaSalle St,60602,"3,0",false,LOOP,Office,457.928,1991,1,,63,"26.330.059,4",,,,,"57,5",,,,,,"41,88371132","-87,63248735","(41.88371132, -87.63248735)",2019-250001
2019,181840,Bennett Brothers Building (Hartman Building),Submitted,30 32 E ADAMS ST,60603,,true,LOOP,Office,175.200,1923,1,,,"7.159.778,3",,,,,"40,9","114,4","40,9",,"1.191,1","6,8","41,87953759","-87,62649075","(41.87953759, -87.62649075)",2019-181840
2019,229016,Fulton House Condominium Association,Submitted,345-355 N Canal St,60606,"1,5",false,NEAR WEST SIDE,Multifamily Housing,175.456,1900,1,,37,"9.207.906,4",,,,,"52,5",,,,,,"41,88806221","-87,63991405","(41.88806221, -87.63991405)",2019-229016
2019,231019,Aqua,Submitted,225 N Columbus Dr,60601,"3,5",false,LOOP,Multifamily Housing,1.295.101,2009,1,,77,"32.539.032,7","73.040.121,7",,,,"81,5",,,,,,"41,88656117","-87,62004511","(41.88656117, -87.62004511)",2019-231019
2019,236031,City Centre Condominium,Submitted,208 W Washington St,60606,"4,0",false,LOOP,Multifamily Housing,390.000,1927,1,,68,"6.124.362,6","17.321.514,5",,"6.149.592,2",,"75,9",105,75,,,,"41,883288","-87,634142","(41.883288, -87.634142)",2019-236031
2019,236382,Randolph Place Residences Condominium Association,Submitted,165 N Canal St,60606,"4,0",false,NEAR WEST SIDE,Multifamily Housing,749.100,1922,1,,94,"12.289.119,8","28.577.384,4",,,,"54,6",,,,,,"41,88509416","-87,63939751","(41.88509416, -87.63939751)",2019-236382
2019,239946,Metropolitan Tower Condo Association,Submitted,310 S Michigan Ave,60604,"3,0",false,LOOP,Multifamily Housing,579.393,1924,1,,68,14.222.069,"24.902.336,3",,,,"67,5","113,9",67,,"3.688,7","6,4","41,87797296","-87,62488735","(41.87797296, -87.62488735)",2019-239946
2019,240122,(IL578) - Six N. Michigan,Submitted,6 N Michigan Ave,60602,"1,5",false,LOOP,Multifamily Housing,276.168,1898,1,,34,"7.402.112,2","14.941.945,8",,,,"80,9","131,9","79,4",,"2.025,1","7,3","41,88218864","-87,6245691","(41.88218864, -87.6245691)",2019-240122
2019,240429,The Buckingham Condominium Association,Submitted,360 E Randolph St,60601,"1,0",false,LOOP,Multifamily Housing,506.142,1981,1,,18,"30.373.654,7","2.732.025,8",,,,"65,4",,,,,,"41,884817","-87,61795883","(41.884817, -87.61795883)",2019-240429
2019,240540,Residence at RiverBend Condominium Association,Submitted,333 N Canal St,60606,"2,5",false,NEAR WEST SIDE,Multifamily Housing,489.780,2002,1,,52,"17.577.262,6","10.624.024,9",,,,"57,6","123,3","56,5",,"3.488,5","7,1","41,88743729","-87,63948358","(41.88743729, -87.63948358)",2019-240540
2019,240752,200 N. Dearborn CA,Submitted,200 N Dearborn St,60601,"2,0",false,LOOP,Multifamily Housing,359.953,1989,1,,44,"9.021.044,8","22.391.425,3",,,,"87,3","135,5","85,7",,"2.690,1","7,5","41,88603988","-87,62982289","(41.88603988, -87.62982289)",2019-240752
2019,240956,Harbor Point,Submitted,155 N Harbor Dr,60601,"2,0",false,LOOP,Multifamily Housing,1.192.576,1974,1,,45,"38.009.714,1",44.057.932,,,,"68,8",,,,,,"41,88497563","-87,61480633","(41.88497563, -87.61480633)",2019-240956
2019,241767,340 on the Park,Submitted,340 E Randolph St,60601,"1,0",false,LOOP,,,,,,26,"40.524.426,4","8.181.000,2",,,,"60,8","152,3","59,8",,,,"41,88484071","-87,61888905","(41.88484071, -87.61888905)",2019-241767
2019,241820,Park Millennium Condominium Association.,Submitted,222 N Columbus Dr,60601,"1,0",false,LOOP,Multifamily Housing,442.821,2003,1,,1,"21.734.494,6","36.246.938,3",,,,"130,9",,,,,,"41,88658111","-87,62152561","(41.88658111, -87.62152561)",2019-241820
2019,242510,The Residences at Joffrey Tower Condo Association,Submitted,8 E Randolph St,60601,"1,0",false,LOOP,Multifamily Housing,410.425,2008,1,,19,"11.579.048,5","24.971.790,2",,,,"113,9",,,,,,"41,88447107","-87,6276261","(41.88447107, -87.6276261)",2019-242510
2019,242563,(IL279) - 212 W Washington Condo,Submitted,212 W Washington St,60606,"3,0",false,LOOP,Multifamily Housing,273.673,1912,1,,41,"8.485.712,2","13.795.493,5",,,,"81,4","139,7","80,9",,"2.144,5","7,8","41,88326842","-87,63512143","(41.88326842, -87.63512143)",2019-242563
2019,243690,The 400 Condominium Association,Submitted,400 E Randolph St,60601,"3,0",false,LOOP,Multifamily Housing,1.110.000,1963,1,,61,"23.286.504,2","70.424.764,2",,,,"84,4",,,,,,"41,88484798","-87,61650377","(41.88484798, -87.61650377)",2019-243690
2019,243929,The ParkShore Condominium Association,Submitted,195 N Harbor Dr,60601,"3,0",false,LOOP,Multifamily Housing,1.122.828,1991,1,,67,"29.865.734,2",25.434.643,,,,"49,3","98,3","48,3",,"6.319,5","5,6","41,88566808","-87,61471363","(41.88566808, -87.61471363)",2019-243929
2019,244387,Regatta Condominium Association,Submitted,420 E Waterside Dr,60601,"2,5",false,LOOP,Multifamily Housing,452.227,2006,1,,53,"12.838.032,1","25.470.476,2",,,,"84,7","138,6","84,2",,"3.488,6","7,7","41,88718713","-87,61626502","(41.88718713, -87.61626502)",2019-244387
2019,244747,Lancaster Condo Association,Submitted,201 N Westshore Dr,60601,"1,5",false,LOOP,Multifamily Housing,323.000,2004,1,,36,"9.918.926,3","19.415.613,4",,,,"90,8",,,,,,"41,88626693","-87,6160009","(41.88626693, -87.6160009)",2019-244747
2019,244791,The Chandler at Lakeshore East,Submitted,450 E Waterside Dr,60601,"1,0",false,LOOP,Multifamily Housing,444.000,2005,1,,28,"12.267.972,2","28.747.175,4",,,,"92,4","145,3","91,9",,"3.567,9",8,"41,88716277","-87,61536682","(41.88716277, -87.61536682)",2019-244791
2019,244931,Metropolitan Place Condominium Association,Submitted,130 S Canal St,60606,"4,0",false,NEAR WEST SIDE,Multifamily Housing,574.600,1949,1,,96,7.831.219,"19.292.597,9",,,,"47,2",,,,,,"41,87963192","-87,64039396","(41.87963192, -87.64039396)",2019-244931
2019,250063,Gallery 37,Submitted,66 E Randolph St,60601,"2,0",false,LOOP,Other - Entertainment/Public Assembly,75.000,1872,1,,,"2.335.044,8","3.959.490,3",,,,"83,9","142,6","82,5",,"598,8",8,"41,88452835","-87,62551055","(41.88452835, -87.62551055)",2019-250063
2019,250115,City Hall,Submitted,121 N LaSalle St,60602,"1,0",false,LOOP,Office,411.500,1911,1,,28,"24.244.621,1","39.776.456,7",,,,"155,6","266,5","151,8",,"6.146,2","14,9","41,88385328","-87,63167966","(41.88385328, -87.63167966)",2019-250115
2019,250134,5098-Bank of America,Submitted,231 S LaSalle St,60604,"4,0",false,LOOP,Office,1.178.147,1924,1,,86,"35.009.542,5","29.032.797,1",,,,"73,7",,,,,,"41,87868136","-87,63229063","(41.87868136, -87.63229063)",2019-250134
2019,250137,Club Quarters,Submitted,75 E Wacker Dr,60601,"3,0",false,LOOP,Hotel,178.845,1928,1,,67,"7.277.526,5","7.835.300,1",,,,"84,5","159,9","83,2",,"1.626,9","9,1","41,887778","-87,625661","(41.887778, -87.625661)",2019-250137
2019,250140,Page Building,Submitted,177 N State St,60601,"1,0",false,LOOP,Office,53.053,1872,1,,2,"9.505.514,7","79.800,5",,,,"180,7","503,3","180,6",,"1.585,6","29,9","41,8855022","-87,62759447","(41.8855022, -87.62759447)",2019-250140
2019,250144,Home Federal,Submitted,11 E Adams St,60603,"1,0",false,LOOP,Office,161.166,1961,1,,26,"7.567.065,4","19.380.525,9",,,,"167,2","257,7","164,6",,"2.288,3","14,2",41.8793,-87.6275,"(41.8793, -87.6275)",2019-250144
2019,250145,180 N Wabash Ave,Submitted,180 N Wabash Ave,60601,"2,0",false,LOOP,Office,162.202,1919,1,,47,"8.164.612,3","6.853.017,1",,,,"92,6","185,3",91,,"1.722,3","10,6","41,88542351","-87,62666782","(41.88542351, -87.62666782)",2019-250145
2019,250148,8 S. Michigan Ave,Submitted,8 S Michigan Ave,60606,"3,0",false,LOOP,Office,180.547,1929,1,,61,6.879.776,"13.660.820,1",,,,"113,8","186,1","110,1",,"1.870,1","10,4",41.8818,-87.6244,"(41.8818, -87.6244)",2019-250148
2019,250149,216 W Jackson Blvd,Submitted,216 W Jackson Blvd,60606,"1,0",false,LOOP,Office,172.121,1920,1,,7,"29.816.079,3",,,,,"173,2",485,"173,2",,"4.960,3","28,8","41,87843368","-87,63449855","(41.87843368, -87.63449855)",2019-250149
2019,250167,162 North State Street,Submitted,162 N State St,60601,"2,5",false,LOOP,Residence Hall/Dormitory,318.360,1999,1,,55,7.535.924,"22.788.205,3",,"6.882.275,9",,"116,9","161,1","115,5",,"2.826,8","8,9","41,88496713","-87,62836653","(41.88496713, -87.62836653)",2019-250167
